,user_name,user_location,date,text,rating
89,𝕾𝖊𝖛𝖊𝖌𝖔𝖉 𝕰𝖛𝖔𝖑𝖛𝖊𝖉,,2022-09-21 18:42:27+00:00,queria mto ir no tusquinha mas infelizmente um dos raros momentos em q estou com a saúde prejudicada teve q cair logo hj,
90,AnaFurlan,,2022-09-21 18:21:13+00:00,homem nenhum me esculacha não homem eu uso ~indo no tusquinha só pra ver ele dnv~,
91,Matheus,"São Carlos, Brasil",2022-09-21 18:09:52+00:00,RT @clnxvz: so um último comentario meu deus ques dia de pau no cu q escolheram pro tusquinha em,
92,n. ✨,"São Carlos, Brasil",2022-09-21 18:02:26+00:00,qria ir no tusquinha hj de novo,
93,debs 🌙,Bauru/ São Carlos,2022-09-21 17:26:26+00:00,@chocayoo Eu escuto essa lenda desde o tusquinha passado,
94,socram🏳️‍🌈 ⃤,"São Carlos, Brasil",2022-09-21 17:12:19+00:00,"@clnxvz Um amigo meu do caaso me mandou um audio MALUCO perguntando se eu tava no tusquinha e eu tava fazendo trabalho....
...",
95,body tá lelé das ideias,"São Carlos, Brasil",2022-09-21 17:10:14+00:00,profissional multitasking: to revisando um texto e tentando convencer a mariana a ir no tusquinha comigo,
96,🌻,SP,2022-09-21 16:44:08+00:00,tusquinha foi maravilhoso E HOJE TEM MAIS Q DELIIIIIIIICIA,
97,Soymara Ribas,,2022-09-21 16:43:56+00:00,RT @CrisTemporineM: Noossaaa não prometeram nada e entregaram tudoo nesse tusquinha eem!! Volei e basquete femininooo!!! Parabenss!!!,
98,clara ਏӂਓ,013,2022-09-21 16:04:54+00:00,so um último comentario meu deus ques dia de pau no cu q escolheram pro tusquinha em,
99,Teo,qualquer pronome,2022-09-21 15:34:45+00:00,"RT @LilPalomin: ACORDEI NÉ E TALS, AÍ FUI NA COZINHA TOMAR UM CAFÉ E MEU IRMÃO VEIO CORRENDO ME ABRAÇAR PRA ME DAR BOM DIA, DEI LOGO UM CHU…",
100,Mayara Scary,(011)/(019) Bi - ela/dela,2022-09-21 15:29:26+00:00,Vendo a galera curtindo um Tusquinha e pensando que tô com saudade de um rolezinho em São Carlos.,
101,Bonho está de férias,,2022-09-21 15:17:58+00:00,Tô entrando no clima de tusquinha e tô com vontade de tomar cerveja em pleno horário de almoço.,
102,paulin,BH,2022-09-21 14:42:22+00:00,verdade que tem tusquinha hoje?,
