,user_name,user_location,date,text,rating
126,daniela.,,2022-09-27 03:22:40+00:00,"tem q ser mt tusca mesmo, desde o começo eu sabia como isso ia terminar",
127,mudim,,2022-09-26 21:16:27+00:00,e se eu trocar tusca por ju + mini .......,
128,cauã,,2022-09-26 18:45:45+00:00,como assim a menina vendeu pacote tusca por 160 e eu não comprei,
129,.,sao carlos,2022-09-26 18:24:56+00:00,So vão me ver agora dia 12/11 na arena tusca 🥲,
130,Léo,"São Paulo, Brasil",2022-09-26 18:14:44+00:00,amando que de 150 reais de onibus pra tusca eu gastei apenas 50 reais,
131,Léo,"São Paulo, Brasil",2022-09-26 18:14:26+00:00,"gentee, a clickb*s ta com cupom de desconto de 50 reais de desconto em passagens, na teoria sao viagens pra vc ir votar, mas eu comprei minha passagem pra tusca e foi o cupom kkkk",
132,Juupi,,2022-09-26 17:39:57+00:00,Menos de dois meses pro TUSCA 😬😬😬😬😬,
133,mandi,"São José do Rio Preto, Brasil",2022-09-26 17:34:12+00:00,"sem querer eu acabei vendo o preço do OBA kkkkkkkkkkkkk 800 reais velho, dps a gente ainda reclama do preço do tusca",
134,Riquelme Santos,"São Carlos, Brasil",2022-09-26 17:19:40+00:00,"Não aguentei um dia de bailão, imagina 4 de tusca",
135,Marcelo Aloia,,2022-09-26 16:55:31+00:00,Eu queria dormir por 1 mês pois nada na minha vida faz mais sentido do que o combo tusca + copa do mundo,
136,bia,"Uberlândia, Brasil",2022-09-26 16:52:04+00:00,"Outubro promete tanto, praia, aniver dos amigos, integra!!!! E o melhor de tudo, já vai ser quase TUSCA",
137,dani-se,"Ponta Grossa, Brasil",2022-09-26 16:18:50+00:00,"RT @djlamarca: Quem achou que eu ia parar de inovar, achou errado! 🤯

22/10 - Halloween da Lamarca além de INAUGURAR o novo point universit…",
138,Halloween da Lamarca 👻🦇,"Ponta Grossa, Brasil",2022-09-26 16:18:16+00:00,"Quem achou que eu ia parar de inovar, achou errado! 🤯

22/10 - Halloween da Lamarca além de INAUGURAR o novo point universitário da cidade

Conecta você a uma das artistas mais brabas de jogos universitários: TUSCA, INTERBATUC, SUPERTENDA, JOIAS? check! Vem comigo #DESCONTROLE https://t.co/SHAalzHw6Y",
139,Caeta ou Stin,"Limeira, Brasil",2022-09-26 15:21:27+00:00,"@Lucchesigui06 3 semanas, ainda bem q a espuma é em 4, e os planos são pro tusca rlx",
140,maria fifi,,2022-09-26 15:07:45+00:00,tenho 3/4 looks do tusca tô feliz,
141,Bot TUSCA 2022,Arena Tusca,2022-09-26 15:01:24+00:00,Faltam 47 dias para o início do TUSCA,
142,𝒦𝒶𝓇𝑜𝓁,,2022-09-26 14:54:25+00:00,Preciso vender meu Tusca,
143,Tusca,São Carlos,2022-09-26 14:10:24+00:00,RT @maricomentax: com sabores de tusca chego logo novembro por favor,
144,Maluca,,2022-09-26 14:06:38+00:00,Vou comemorar meu aniversário no piper e depois quero ir no tusca HAHAHAHAHAH já que sp ninguém topou ir,
145,Tusca,São Carlos,2022-09-26 14:05:45+00:00,@LFazardo a meta é sair inteiro da tusca 2022,
146,victor hugo,republica alcateia,2022-09-26 13:21:36+00:00,"tusca já são 4 dias de role e os cara faz esquenta ainda, tipo?????",
